PS,PW,MM,theta,t-color,t-in,t-out,IM,NC,K,p-shuf,max-iters,eps,a,g,seed,num_episodes,mean_total_reward,mean_steps_river,mean_path_length,mean_wallclock_time,mean20_total_reward,mean20_steps_river,mean20_path_length,mean20_wallclock_time
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.05,1.0,0.5,1,5657,91.34576630722998,0.09068410818455011,8.838076719109068,0.0761996699618602,91.5,0.1,8.6,0.0756026983261108
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.05,1.0,0.5,2,5604,91.36491791577444,0.07922912205567452,8.922019985724482,0.0764845689648309,92.25,0.05,8.3,0.06789565086364742
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.05,1.0,1.0,0,4011,73.02567938170033,1.7232610321615558,12.464971328845674,0.10479050828643167,78.35,1.2,11.85,0.09973025321960446
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.05,1.0,1.0,1,4211,68.98693896936595,2.237948230824032,11.871526953217764,0.09874728948366214,70.9,2.25,9.85,0.0822950959205627
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.05,1.0,1.0,2,5472,72.1061769005848,2.1951754385964914,9.137244152046783,0.07687249269924666,71.35,2.3,8.95,0.07542265653610225
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.0,0.0,0.0,0,0,,,,,,,,
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.0,0.0,0.0,1,0,,,,,,,,
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.0,0.0,0.0,2,0,,,,,,,,
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.0,0.0,0.5,0,0,,,,,,,,
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.0,0.0,0.5,1,0,,,,,,,,
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.0,0.0,0.5,2,0,,,,,,,,
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.0,0.0,1.0,0,0,,,,,,,,
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.0,0.0,1.0,1,0,,,,,,,,
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.0,0.0,1.0,2,0,,,,,,,,
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.0,1.0,0.0,0,0,,,,,,,,
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.0,1.0,0.0,1,0,,,,,,,,
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.0,1.0,0.0,2,0,,,,,,,,
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.0,1.0,0.5,0,4441,89.62440891691061,0.013060121594235533,11.258049988741275,0.09502377501481075,90.0,0.0,11.0,0.09258906841278074
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.0,1.0,0.5,1,6184,92.83198576972833,0.009217335058214747,8.085058214747736,0.06791602061606009,93.0,0.0,8.0,0.06675119400024412
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.0,1.0,0.5,2,4901,90.68332993266681,0.01285451948581922,10.200979391960825,0.08794440145128675,91.0,0.0,10.0,0.08650261163711544
